# Full dataset: 5,047 orders, 33,615 events exported from SAP
# Analysis notebook: https://colab.research.google.com/drive/1urWP6HwasAXmc6J0hiG4Kyjeble2f5W5?usp=sharing
# Timestamp format: DD.MM.YYYY HH:MM:SS
# Load with: pandas.to_datetime(df['timestamp'], format='%d.%m.%Y %H:%M:%S')
case_id,activity,timestamp
2208767001,Sales Order Created,09.12.2017 00:12:46
2208767001,Payment Received,17.12.2017 08:22:39
2208767001,Invoice Created,15.12.2017 23:42:47
2208767001,Confirmed Delivery Date,14.12.2017 08:03:54
2208767001,Delivery Completed,14.12.2017 21:45:18
2208767001,Shipment Sent,14.12.2017 15:52:42
2208767001,Customer pick-up,14.12.2017 15:40:38
2208767001,Picking Done,11.12.2017 11:02:22
2208767002,Payment Received,19.05.2016 23:10:00
2208767002,Invoice Created,18.05.2016 14:03:02
2208767002,Confirmed Delivery Date,17.05.2016 08:34:00
2208767002,Shipment Sent,17.05.2016 05:09:42
2208767002,Customer pick-up,17.05.2016 04:48:37
2208767002,Delivery Completed,17.05.2016 11:20:22
2208767002,Picking Done,13.05.2016 22:58:04
2208767002,Sales Order Created,11.05.2016 10:29:05
2208767003,Sales Order Created,08.10.2017 17:04:13
2208767003,Payment Received,17.10.2017 00:40:53
2208767003,Invoice Created,15.10.2017 16:04:20
2208767003,Shipment Sent,14.10.2017 08:22:00
2208767003,Customer pick-up,14.10.2017 08:11:03
2208767003,Confirmed Delivery Date,14.10.2017 02:42:58
2208767003,Delivery Completed,14.10.2017 14:12:23
2208767003,Picking Done,11.10.2017 03:41:39
2208767004,Sales Order Created,09.03.2016 19:56:01
2208767004,Payment Received,18.03.2016 05:37:37
2208767004,Confirmed Delivery Date,16.03.2016 07:46:40
2208767004,Invoice Created,16.03.2016 20:48:35
2208767004,Delivery Completed,15.03.2016 18:35:49
2208767004,Shipment Sent,15.03.2016 12:37:06
2208767004,Customer pick-up,15.03.2016 12:21:59
2208767004,Picking Done,12.03.2016 07:19:16
2208767005,Sales Order Created,08.08.2017 15:06:07
2208767005,Payment Received,16.08.2017 22:33:37
2208767005,Invoice Created,15.08.2017 13:58:00
2208767005,Shipment Sent,14.08.2017 06:17:48
2208767005,Customer pick-up,14.08.2017 06:07:09
2208767005,Confirmed Delivery Date,14.08.2017 16:51:31
2208767005,Delivery Completed,14.08.2017 12:07:34
2208767005,Picking Done,11.08.2017 01:40:11
2208767006,Sales Order Created,09.12.2016 15:02:08
2208767006,Payment Received,18.12.2016 02:12:35
2208767006,Invoice Created,16.12.2016 17:14:40
2208767006,Confirmed Delivery Date,16.12.2016 12:01:28
2208767006,Shipment Sent,15.12.2016 08:42:27
2208767006,Customer pick-up,15.12.2016 08:24:22
2208767006,Delivery Completed,15.12.2016 14:47:05
2208767006,Picking Done,12.12.2016 02:57:57
2208767007,Sales Order Created,09.06.2016 19:14:07
2208767007,Payment Received,18.06.2016 06:44:06
2208767007,Confirmed Delivery Date,16.06.2016 06:33:25
2208767007,Invoice Created,16.06.2016 21:44:13
2208767007,Delivery Completed,15.06.2016 19:13:23
2208767007,Shipment Sent,15.06.2016 13:07:27
2208767007,Customer pick-up,15.06.2016 12:48:44
2208767007,Picking Done,12.06.2016 07:17:06
2208767008,Picking Done,09.11.2017 21:45:01
2208767008,Sales Order Created,07.11.2017 11:17:27
2208767008,Payment Received,15.11.2017 18:27:13
2208767008,Invoice Created,14.11.2017 09:53:22
2208767008,Confirmed Delivery Date,14.11.2017 16:09:56
2208767008,Delivery Completed,13.11.2017 08:05:54
2208767008,Shipment Sent,13.11.2017 02:17:19
2208767008,Customer pick-up,13.11.2017 02:07:15
2208767009,Payment Received,25.04.2016 14:51:00
2208767009,Invoice Created,24.04.2016 04:35:06
2208767009,Confirmed Delivery Date,23.04.2016 15:23:49
2208767009,Delivery Completed,22.04.2016 23:57:34
2208767009,Shipment Sent,22.04.2016 17:00:57
2208767009,Customer pick-up,22.04.2016 16:16:53
2208767009,Picking Done,19.04.2016 07:22:32
2208767009,Sales Order Created,16.04.2016 14:40:48
2208767010,Payment Received,26.09.2017 05:52:16
2208767010,Invoice Created,24.09.2017 19:29:53
2208767010,Confirmed Delivery Date,24.09.2017 14:33:15
2208767010,Shipment Sent,23.09.2017 07:40:36
2208767010,Customer pick-up,23.09.2017 06:54:22
2208767010,Delivery Completed,23.09.2017 14:41:32
2208767010,Picking Done,19.09.2017 21:42:44
2208767010,Sales Order Created,17.09.2017 04:37:14
2208767011,Payment Received,03.07.2016 08:09:04
2208767011,Shipment Sent,29.06.2016 05:52:24
2208767011,Customer pick-up,29.06.2016 04:41:40
2208767011,Confirmed Delivery Date,29.06.2016 14:49:01
2208767011,Delivery Completed,29.06.2016 13:42:20
2208767011,Picking Done,25.06.2016 16:14:01
2208767011,Sales Order Created,22.06.2016 18:39:01
2208767011,Invoice Created,01.07.2016 20:33:11
2208767012,Payment Received,04.08.2016 16:37:19
2208767012,Confirmed Delivery Date,03.08.2016 09:46:39
2208767012,Invoice Created,03.08.2016 04:37:03
2208767012,Picking Done,28.07.2016 22:07:53
2208767012,Sales Order Created,25.07.2016 23:03:30
2208767012,Delivery Completed,01.08.2016 21:05:35
2208767012,Shipment Sent,01.08.2016 12:59:23
2208767012,Customer pick-up,01.08.2016 11:40:32
2208767013,Payment Received,07.01.2016 13:44:46
2208767013,Invoice Created,06.01.2016 01:14:40
2208767013,Confirmed Delivery Date,05.01.2016 02:44:40
2208767013,Shipment Sent,04.01.2016 08:27:23
